,region,population,code2
0,Caribbean,103000,AW
1,Southern and Central Asia,22720000,AF
2,Central Africa,12878000,AO
3,Caribbean,8000,AI
4,Southern Europe,3401200,AL
5,Southern Europe,78000,AD
6,Caribbean,217000,AN
7,Middle East,2441000,AE
8,South America,37032000,AR
9,Middle East,3520000,AM
10,Polynesia,68000,AS
11,Antarctica,0,AQ
12,Antarctica,0,TF
13,Caribbean,68000,AG
14,Australia and New Zealand,18886000,Au
15,Western Europe,8091800,AT
16,Middle East,7734000,AZ
17,Eastern Africa,6695000,BI
18,Western Europe,10239000,BE
19,Western Africa,6097000,BJ
20,Western Africa,11937000,BF
21,Southern and Central Asia,129155000,BD
22,Eastern Europe,8190900,BG
23,Middle East,617000,BH
24,Caribbean,307000,BS
25,Southern Europe,3972000,BA
26,Eastern Europe,10236000,BY
27,Central America,241000,BZ
28,North America,65000,BM
29,South America,8329000,BO
30,South America,170115000,BR
31,Caribbean,270000,BB
32,Southeast Asia,328000,BN
33,Southern and Central Asia,2124000,BT
34,Antarctica,0,BV
35,Southern Africa,1622000,BW
36,Central Africa,3615000,CF
37,North America,31147000,CA
38,Australia and New Zealand,600,CC
39,Western Europe,7160400,CH
40,South America,15211000,CL
41,Eastern Asia,1277558000,CN
42,Western Africa,14786000,CI
43,Central Africa,15085000,CM
44,Central Africa,51654000,CD
45,Central Africa,2943000,CG
46,Polynesia,20000,CK
47,South America,42321000,CO
48,Eastern Africa,578000,KM
49,Western Africa,428000,CV
50,Central America,4023000,CR
51,Caribbean,11201000,Cu
52,Australia and New Zealand,2500,CX
53,Caribbean,38000,KY
54,Middle East,754700,CY
55,Eastern Europe,10278100,CZ
56,Western Europe,82164700,DE
57,Eastern Africa,638000,DJ
58,Caribbean,71000,DM
59,Nordic Countries,5330000,DK
60,Caribbean,8495000,DO
61,Northern Africa,31471000,DZ
62,South America,12646000,EC
63,Northern Africa,68470000,EG
64,Eastern Africa,3850000,ER
65,Northern Africa,293000,EH
66,Southern Europe,39441700,ES
67,Baltic Countries,1439200,EE
68,Eastern Africa,62565000,ET
69,Nordic Countries,5171300,FI
70,Melanesia,817000,FJ
71,South America,2000,FK
72,Western Europe,59225700,FR
73,Nordic Countries,43000,FO
74,Micronesia,119000,FM
75,Central Africa,1226000,GA
76,British Islands,59623400,GB
77,Middle East,4968000,GE
78,Western Africa,20212000,GH
79,Southern Europe,25000,GI
80,Western Africa,7430000,GN
81,Caribbean,456000,GP
82,Western Africa,1305000,GM
83,Western Africa,1213000,GW
84,Central Africa,453000,GQ
85,Southern Europe,10545700,GR
86,Caribbean,94000,GD
87,North America,56000,GL
88,Central America,11385000,GT
89,South America,181000,GF
90,Micronesia,168000,Gu
91,South America,861000,GY
92,Eastern Asia,6782000,HK
93,Antarctica,0,HM
94,Central America,6485000,HN
95,Southern Europe,4473000,HR
96,Caribbean,8222000,HT
97,Eastern Europe,10043200,Hu
98,Southeast Asia,212107000,ID
99,Southern and Central Asia,1013662000,IN
100,Eastern Africa,0,IO
